Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time
3.979032307,1.490719734,8.561872864,1.4995,4.91,250.078
3.981451458,1.491418377,8.545637036,1.4995,4.91,256.437
3.983731076,1.491414565,8.520999307,1.4995,4.91,262.796
3.986110483,1.492755437,8.494854725,1.4995,4.91,269.203
3.988155736,1.492602333,8.460801475,1.4995,4.91,275.64
3.990372438,1.492355342,8.441227888,1.4995,4.91,282.046
3.992391905,1.492420909,8.439744054,1.4995,4.922,288.437
3.994703995,1.492928859,8.428042379,1.4995,4.922,294.843
3.99667754,1.492440937,8.414547458,1.4995,4.922,301.25
3.998798378,1.491133388,8.39276894,1.4995,4.922,307.593
4.000885312,1.491069263,8.394236468,1.4995,4.922,314
4.002638871,1.490565453,8.387978957,1.4995,4.935,320.39
4.004954912,1.490885863,8.376336867,1.4995,4.935,326.765
4.006915834,1.489542,8.361578696,1.4995,4.935,333.156
4.008894496,1.492263871,8.350250809,1.4995,4.935,339.562
4.01075099,1.490357595,8.35019329,1.4995,4.935,345.968
4.012664938,1.489025637,8.331420393,1.4995,4.935,352.343
4.014526853,1.490965312,8.31130829,1.4995,4.948,358.687
4.016311072,1.492232323,8.307474207,1.4995,4.948,365.14
4.018604021,1.491826599,8.288321955,1.4995,4.948,371.5
4.020216239,1.489803579,8.312558678,1.4995,4.948,377.906
4.022213152,1.493517529,8.284744802,1.4995,4.948,384.296
4.023998121,1.490384793,8.295532446,1.4995,4.948,390.64
4.0258069,1.489090658,8.275780306,1.4995,4.948,397.046
4.027893305,1.491515862,8.283213699,1.4995,4.948,403.468
4.029934627,1.495384947,8.287223356,1.4995,4.948,409.843
4.031399272,1.48977473,8.28216809,1.4995,4.948,416.25
4.033033058,1.490283929,8.286381957,1.4995,4.96,422.625
4.034976827,1.494006581,8.232260543,1.4995,4.96,428.968
4.036862141,1.492176335,8.274393579,1.4995,4.96,435.359
4.038410085,1.490463629,8.2272127,1.4995,4.96,441.75
4.040183204,1.494134132,8.23028037,1.4995,4.96,448.109
4.042026456,1.493336282,8.198322018,1.4995,4.96,454.515
4.043717595,1.494713584,8.193809634,1.4995,4.96,460.875
4.045355432,1.492920362,8.190327599,1.4995,4.96,467.234
4.046826722,1.491181039,8.164226717,1.4995,4.96,473.625
4.048596341,1.492108534,8.17488253,1.4995,4.96,480.062
4.050143059,1.49085558,8.174900451,1.4995,4.96,486.406
4.051676407,1.490292589,8.184727922,1.4995,4.96,492.812
4.053519281,1.492702708,8.173169243,1.4995,4.973,499.187
4.054875791,1.490585354,8.187714898,1.4995,4.973,505.562
4.056312833,1.490541122,8.167263728,1.4995,4.973,511.953
4.058003356,1.490397064,8.149725895,1.4995,4.973,518.328
4.059325345,1.490314045,8.147351008,1.4995,4.973,524.671
4.061030085,1.49174389,8.152327786,1.4995,4.973,531.078
4.062529211,1.491876872,8.151191463,1.4995,4.973,537.453
4.063755034,1.489646383,8.184837212,1.4995,4.973,543.796
4.065245164,1.493877969,8.185520092,1.4995,4.973,550.203
4.066550673,1.491998583,8.162601311,1.4995,4.973,556.578
4.067901622,1.49230003,8.163745828,1.4995,4.986,563.015
4.069281369,1.492090884,8.182950582,1.4995,4.986,569.421
4.070566234,1.492519831,8.185541399,1.4995,4.986,575.765
4.071913699,1.489389217,8.187126415,1.4995,4.986,582.171
4.07331356,1.495911123,8.1717585,1.4995,4.986,588.531
4.074702439,1.493411825,8.197347593,1.4995,4.986,594.875
4.07576301,1.489721473,8.185218466,1.4995,4.986,601.281
4.076769238,1.490440088,8.214587466,1.4995,4.986,607.671
4.077910947,1.49008137,8.198495451,1.4995,4.986,614.015
4.079163207,1.492716754,8.206561911,1.4995,4.986,620.421
4.080373395,1.490589882,8.208224478,1.4995,4.986,626.781
4.081507776,1.493024361,8.207069298,1.4995,4.986,633.187
4.082637966,1.49005146,8.20450162,1.4995,4.998,639.562
4.083724534,1.491151659,8.220808072,1.4995,4.998,645.906
4.084917321,1.491283903,8.251402498,1.4995,4.998,652.296
4.085758293,1.492547854,8.239952371,1.4995,4.998,658.703
4.086893589,1.492337105,8.237249341,1.4995,4.998,665.046
4.088013785,1.49282117,8.244656569,1.4995,4.998,671.468
4.08893283,1.490812971,8.270562535,1.4995,4.998,677.828
4.09013489,1.490639117,8.252093603,1.4995,4.998,684.171
4.091184285,1.492891365,8.265795219,1.4995,4.998,690.609
4.092027637,1.492229931,8.290083906,1.4995,4.998,697
4.092859418,1.491668782,8.302118567,1.4989,4.998,703.359
4.093572452,1.489761803,8.287950675,1.4973,4.998,709.703
4.094419059,1.488708729,8.30246068,1.4962,4.998,716.109
4.095175627,1.488135893,8.279388652,1.4946,4.998,722.5
4.09582269,1.486605725,8.292127303,1.494,4.998,728.843
4.096623346,1.484333343,8.336247054,1.4929,4.998,735.25
4.097441247,1.484753748,8.333994808,1.4924,4.998,741.625
4.098205888,1.483772941,8.32270069,1.4918,4.998,747.968
4.09882284,1.483751964,8.336859925,1.4907,4.998,754.375
4.099505069,1.480471084,8.352207864,1.4897,4.998,760.75
4.100208215,1.479493428,8.354063872,1.4875,4.998,767.125
4.100639176,1.478027598,8.335871441,1.4864,4.998,773.515
4.101312359,1.476616973,8.33147024,1.4842,4.998,779.89
4.10197403,1.475633167,8.348090175,1.4837,4.998,786.234
4.102573929,1.475306342,8.361392212,1.482,4.998,792.625
4.103352594,1.473634831,8.388537681,1.4815,4.998,799.031
4.10377826,1.469973886,8.402334317,1.4798,4.998,805.39
4.104504144,1.470733473,8.40298176,1.4793,4.998,811.828
4.105221566,1.469185466,8.405053538,1.4788,4.998,818.203
4.105629011,1.468068648,8.411787125,1.4777,4.998,824.546
4.106269164,1.469727849,8.411078607,1.4766,4.998,830.937
4.107080481,1.470315742,8.419220962,1.4766,4.998,837.312
4.107570347,1.468395397,8.381874932,1.4749,4.998,843.64
4.108119992,1.466412237,8.30244625,1.4749,4.998,850.046
4.108934966,1.464086812,8.175395976,1.4733,4.998,856.421
4.109485866,1.465145165,8.061474133,1.4717,4.998,862.765
4.110419824,1.463424347,7.930301966,1.4706,4.998,869.187
4.111250099,1.462661842,7.863980654,1.4695,4.998,875.578
4.111801662,1.460688197,7.826989605,1.4679,4.998,881.906
4.112694465,1.460313222,7.772381453,1.4673,4.998,888.343
4.113611599,1.459546061,7.693044365,1.4662,4.998,894.718
4.114491721,1.457018097,7.627722453,1.4646,4.998,901.062
4.11558805,1.456372616,7.561340784,1.464,4.998,907.5
4.116259916,1.453524897,7.534827769,1.4619,4.998,913.875
4.117187462,1.450701306,7.472012464,1.4608,4.998,920.281
4.118071456,1.451142724,7.39919635,1.4597,4.998,926.687
4.119025536,1.449687927,7.354790651,1.4586,4.998,933.031
4.120143363,1.449471302,7.278578655,1.457,4.998,939.437
4.121075379,1.448055443,7.23135837,1.4559,4.998,945.828
4.121988039,1.447303431,7.18242553,1.4537,4.998,952.187
4.122864982,1.443843245,7.169133406,1.4526,4.998,958.578
4.123797922,1.442382342,7.109160027,1.451,4.998,964.984
4.124787906,1.441280323,7.064312967,1.4493,4.998,971.328
4.12567219,1.439688623,7.008233074,1.4477,4.998,977.718
4.12677957,1.437252029,6.953434235,1.445,4.998,984.125
4.127503571,1.435713826,6.893771462,1.4439,4.998,990.531
4.128751111,1.43548967,6.856596928,1.4433,5.011,996.953
4.129833303,1.433512165,6.80647195,1.4417,4.998,1003.375
4.130729624,1.432433534,6.760541569,1.4401,4.998,1009.765
4.132024896,1.429838182,6.732797338,1.439,4.998,1016.171
4.132809635,1.429131132,6.781425748,1.4373,4.998,1022.562
4.133792887,1.428516848,6.844400011,1.4362,4.998,1029
4.134608004,1.426374352,6.935815537,1.4346,4.998,1035.437
4.135516972,1.424947037,7.005810527,1.4335,4.998,1041.781
4.136583296,1.424980373,7.041696123,1.4324,4.998,1048.125
4.137348603,1.422181217,7.068264402,1.4308,4.998,1054.484
4.137856148,1.42205426,7.08451732,1.4297,5.011,1060.859
4.138757394,1.420810981,7.105870971,1.4286,4.998,1067.281
4.139496053,1.418107107,7.140937743,1.427,5.011,1073.671
4.140200539,1.417821991,7.15439982,1.4253,5.011,1080.062
4.140847479,1.418394858,7.195320389,1.4242,4.998,1086.453
4.141549638,1.414384543,7.228282561,1.4232,4.998,1092.843
4.142231367,1.413627756,7.215258349,1.4221,4.998,1099.25
4.142693994,1.412862714,7.245948367,1.4204,4.998,1105.64
4.143586661,1.411191436,7.256514117,1.4193,4.998,1112.062
4.144100988,1.411171838,7.268842532,1.4183,5.011,1118.484
4.144804249,1.409591155,7.28076082,1.4172,4.998,1124.875
4.145198313,1.407218179,7.291798679,1.4161,4.998,1131.25
4.145903319,1.407072055,7.296527343,1.415,4.998,1137.64
4.146415421,1.406474186,7.302630792,1.4139,4.998,1144.031
4.147044228,1.405616175,7.295223084,1.4128,4.998,1150.453
4.147585964,1.403205801,7.313667929,1.4117,4.998,1156.843
4.148071684,1.402179966,7.322170991,1.4101,4.998,1163.234
4.148689024,1.400154663,7.346558601,1.4095,4.998,1169.625
4.149448163,1.400918222,7.356162937,1.409,4.998,1176.031
4.149828044,1.399581493,7.373129138,1.4079,4.998,1182.421
4.150406598,1.398514027,7.37521897,1.4068,4.998,1188.812
4.151116397,1.398169235,7.380584412,1.4052,4.998,1195.234
4.151625504,1.398463798,7.398942117,1.4046,4.998,1201.968
4.152163184,1.397079379,7.40951828,1.4035,4.998,1208.453
4.152645424,1.396241312,7.39569596,1.403,4.998,1214.953
4.15325789,1.39471103,7.429618108,1.4019,4.998,1221.453
4.153800484,1.392802715,7.441158483,1.4008,4.998,1227.968
4.154315542,1.393259844,7.458138654,1.3997,4.998,1234.468
4.155166077,1.391981547,7.461556463,1.3992,4.998,1240.968
4.155649299,1.392540614,7.473058573,1.3986,4.998,1247.453
4.156142407,1.391839078,7.476873919,1.3986,4.998,1253.953
4.156798632,1.390634517,7.474196664,1.3975,4.998,1260.5
4.157533075,1.38919212,7.504520625,1.3964,4.998,1266.968
4.157759987,1.388835264,7.508496889,1.3954,4.998,1273.484
4.158400449,1.387489695,7.491347751,1.3948,4.998,1279.984
4.158806201,1.3856425,7.528383077,1.3937,4.998,1286.5
4.159513875,1.38506466,7.548931603,1.3926,4.998,1293
4.15983976,1.385733051,7.570648572,1.3915,4.998,1299.515
4.16029448,1.383539144,7.581433665,1.3894,4.998,1306.015
4.160647107,1.382601658,7.602407226,1.3894,4.998,1312.484
4.161435934,1.380076824,7.600271382,1.3883,4.998,1318.984
4.161802767,1.379081243,7.604008645,1.3872,4.998,1325.5
4.162139788,1.378921233,7.625385364,1.3861,4.998,1332
4.162819599,1.377769151,7.640281232,1.385,4.998,1338.5
4.163373054,1.377271504,7.629375476,1.385,4.998,1344.984
4.16392743,1.376066187,7.63697897,1.3839,4.998,1351.484
4.164502369,1.375560456,7.67787885,1.3834,4.998,1358.359
4.164967407,1.37454894,7.695210717,1.3823,4.998,1364.968
4.165403478,1.374713232,7.699608309,1.3817,4.998,1371.64
4.165983262,1.37467099,7.712180412,1.3812,4.998,1378.234
4.166530929,1.37198972,7.724882468,1.3801,4.998,1384.906
4.167118876,1.372291466,7.72486425,1.3796,4.998,1391.562
4.167629158,1.372288021,7.759722383,1.379,4.998,1398.156
4.168066538,1.369973512,7.76664924,1.3779,4.998,1404.765
4.168430129,1.366383838,7.792653761,1.3774,4.998,1411.421
4.168957556,1.369262888,7.786719631,1.3763,4.998,1418.015
4.169494676,1.368406933,7.787097487,1.3752,4.998,1424.625
4.170042843,1.366232993,7.819187228,1.3741,4.998,1431.203
4.170120327,1.36278958,7.84238517,1.3725,4.998,1437.812
4.170678251,1.363204124,7.84312736,1.3708,4.998,1444.453
4.171208392,1.362957989,7.847165609,1.3697,4.998,1451.046
4.171456028,1.361508502,7.859131788,1.3686,4.998,1457.64
4.171970561,1.361410156,7.87444359,1.3681,4.998,1464.328
4.172283298,1.360074322,7.899215964,1.367,4.998,1470.921
4.172882973,1.36016818,7.928201167,1.3665,4.998,1477.531
4.173502182,1.357728998,7.925664954,1.3654,4.998,1484.171
4.173701295,1.358641781,7.945917822,1.3648,4.998,1490.765
4.174521287,1.358592707,7.961104188,1.3643,4.998,1497.39
4.174916447,1.356578877,7.971821625,1.3637,4.998,1504.062
4.17533619,1.355542551,7.970863568,1.3621,4.998,1510.718
4.175971596,1.35617716,7.984063739,1.3616,4.998,1517.328
4.176249906,1.352882495,7.999024331,1.361,4.998,1523.921
4.176823856,1.353420749,8.001901317,1.3605,4.998,1530.593
4.177367963,1.35308177,8.018409814,1.3594,4.998,1537.25
4.177840545,1.350724564,8.027313929,1.3583,4.998,1543.859
4.178510624,1.352480804,8.03634862,1.3583,4.998,1550.484
4.178871088,1.350893352,8.05416341,1.3577,4.998,1557.125
4.179402162,1.350977081,8.064206192,1.3567,4.998,1563.718
4.179835229,1.350135839,8.070859846,1.3561,4.998,1570.312
4.180319707,1.34911217,8.083542716,1.355,4.998,1576.968
4.18078333,1.347096681,8.108420029,1.3539,4.998,1583.656
4.181236602,1.345301939,8.133729715,1.3539,4.998,1590.265
4.18154012,1.347498453,8.137841865,1.3534,4.998,1596.859
4.18215519,1.343782115,8.145229915,1.3518,4.998,1603.5
4.182571348,1.344888377,8.159087702,1.3512,4.998,1610.171
4.182863284,1.341024681,8.150754333,1.3496,4.998,1616.765
4.18331898,1.341086653,8.170534183,1.349,4.998,1623.406
4.184044131,1.341967079,8.179584327,1.3479,4.998,1630
4.184269264,1.340135548,8.195470949,1.3468,4.998,1636.625
4.184866646,1.34083958,8.197515678,1.3463,4.998,1643.281
4.185486478,1.340246152,8.211258082,1.3458,4.998,1649.875
4.185935967,1.338346219,8.21013157,1.3458,4.998,1656.515
4.186315751,1.337448881,8.239702437,1.3441,4.998,1663.218
4.186927228,1.339309255,8.247066765,1.3441,4.998,1669.859
4.187400521,1.337221521,8.25993622,1.3436,4.998,1676.484
4.18789591,1.335486307,8.277914895,1.3419,4.998,1683.078
4.18819748,1.336203368,8.288053853,1.3419,4.998,1689.765
4.188924803,1.3353233,8.293086235,1.3409,4.998,1696.421
4.189370133,1.334164672,8.298316884,1.3403,4.998,1703.015
4.189897247,1.333860568,8.315200691,1.3398,4.998,1709.609
4.190325073,1.335250698,8.326168949,1.3392,4.998,1716.265
4.190708304,1.333302641,8.344092623,1.3387,4.998,1722.875
4.191292603,1.332002123,8.356188463,1.3381,4.998,1729.531
4.191965254,1.329212196,8.361520784,1.3376,4.998,1736.187
4.19236121,1.330009544,8.352135082,1.3365,4.998,1742.796
4.192730711,1.326972435,8.365981038,1.3354,4.998,1749.39
4.193066492,1.326872942,8.37280703,1.3343,4.998,1755.984
4.193545664,1.326889135,8.400311982,1.3327,4.998,1762.64
4.193770415,1.322667755,8.402435529,1.331,4.998,1769.281
4.194056109,1.321175526,8.410105213,1.3283,4.998,1775.937
4.194210698,1.318528298,8.418975315,1.3261,4.998,1782.593
4.194531673,1.317047603,8.439582922,1.325,4.998,1789.25
4.195151604,1.317079407,8.435242004,1.325,4.998,1795.859
4.195525982,1.318098024,8.446631652,1.3245,4.998,1802.546
4.196134203,1.317649618,8.465942403,1.324,4.998,1809.14
4.196786661,1.318034784,8.474888988,1.324,4.998,1815.75
4.197160655,1.314462756,8.503205703,1.3234,4.998,1822.406
4.197627943,1.316504134,8.512805184,1.3229,4.998,1829
4.198124244,1.314320969,8.526044314,1.3223,4.998,1835.609
4.198548099,1.315294264,8.533771303,1.3218,4.998,1842.296
4.19899304,1.314306251,8.533254238,1.3212,4.998,1848.937
4.199475973,1.313986907,8.544925905,1.3201,4.998,1855.531
4.200160741,1.313327169,8.536214325,1.3196,5.011,1862.14
4.20047349,1.311596308,8.546981728,1.319,4.998,1869.203
4.200995626,1.312305049,8.57607981,1.318,4.998,1875.953
4.201526834,1.30998126,8.594907628,1.3174,4.998,1882.656
4.202019193,1.310373678,8.591911647,1.3169,4.998,1889.359
4.202507847,1.309618133,8.606651792,1.3163,4.998,1896.109
4.203058262,1.30891317,8.640041819,1.3158,4.998,1902.953
4.203461003,1.307892085,8.650762902,1.3147,4.998,1909.703
4.203965245,1.307561264,8.658630013,1.3141,4.998,1916.406
4.204363829,1.306670972,8.657566298,1.3136,4.998,1923.171
4.204878868,1.303953375,8.66031111,1.3131,4.998,1929.937
4.205338399,1.302862077,8.683627622,1.312,4.998,1936.718
4.205670913,1.303667366,8.700239278,1.3114,4.998,1943.453
4.206477988,1.303809213,8.702369287,1.3109,4.998,1950.156
4.206899679,1.302602561,8.732271527,1.3092,4.998,1956.875
4.205222083,1.284896837,8.71551602,1.2918,4.986,1963.578
4.205469587,1.285210413,8.738755635,1.2918,4.986,1970.296
4.205690465,1.285370979,8.74882692,1.2912,4.986,1977.015
4.206028499,1.284287274,8.767977125,1.2907,4.986,1983.718
4.206645993,1.283578775,8.792080603,1.2902,4.986,1990.421
4.204608009,1.264984747,8.783776164,1.2722,4.973,1997.14
4.204837493,1.26507276,8.789309825,1.2716,4.973,2003.875
4.205010688,1.265628268,8.810206154,1.2722,4.973,2010.578
4.205491331,1.264419946,8.833254869,1.2716,4.973,2017.296
4.20560787,1.263732806,8.847523672,1.2711,4.973,2024.109
4.205939578,1.264601284,8.864100947,1.2705,4.973,2030.921
4.206588044,1.262749742,8.879856084,1.27,4.973,2037.75
4.204607996,1.245748121,8.877046473,1.252,4.96,2044.484
4.20501876,1.245128182,8.871949322,1.252,4.96,2051.281
4.205190484,1.246254222,8.797634726,1.252,4.96,2058.015
4.205352707,1.24416603,8.697666764,1.2509,4.96,2064.718
4.205814588,1.245054099,8.584974179,1.2509,4.96,2071.484
4.206265425,1.243163432,8.458674019,1.2498,4.96,2078.25
4.206699544,1.242690849,8.379788623,1.2487,4.96,2085.015
4.205184663,1.224826209,8.310771889,1.2307,4.948,2091.765
4.205463672,1.22433555,8.264521832,1.2307,4.96,2098.531
4.205771949,1.223401717,8.177888506,1.2291,4.948,2105.281
4.206594531,1.22177063,8.083196622,1.2291,4.948,2112.062
4.207084247,1.223125539,8.027888049,1.2275,4.948,2118.859
4.207673739,1.220932804,7.954431338,1.2269,4.948,2125.687
4.206090349,1.199116108,7.872801945,1.2079,4.935,2132.406
4.206512719,1.201284441,7.82609936,1.2073,4.935,2139.156
4.207175694,1.201057829,7.77612311,1.2068,4.935,2145.937
4.207623281,1.198594022,7.711401879,1.2057,4.935,2152.828
4.206026461,1.178405271,7.672918491,1.1871,4.922,2159.609
4.206530328,1.180352777,7.676192757,1.1866,4.922,2166.375
4.206882488,1.179961589,7.569371816,1.186,4.922,2173.171
4.205241143,1.15909694,7.49782511,1.1681,4.91,2179.953
4.205798097,1.159871261,7.426394528,1.1675,4.91,2186.765
4.206399401,1.160676159,7.381461914,1.1664,4.91,2193.64
4.206877198,1.160521203,7.310166802,1.1653,4.91,2200.437
4.207453886,1.157649824,7.287231532,1.1637,4.91,2207.203
4.208120307,1.157298463,7.247254907,1.1637,4.91,2213.953
4.206771577,1.138524907,7.187575106,1.1446,4.897,2220.781
4.20728845,1.136590484,7.185060344,1.1441,4.897,2227.546
4.207704014,1.13841688,7.22223737,1.1435,4.897,2234.343
4.206024968,1.118221304,7.313818331,1.1239,4.884,2241.187
4.206478901,1.118775971,7.357116872,1.1239,4.884,2248.015
4.206867973,1.11742281,7.388497036,1.1234,4.884,2254.812
4.207445063,1.116643629,7.418824852,1.1223,4.884,2261.562
4.207969871,1.113970437,7.467777943,1.1217,4.884,2268.406
4.206115967,1.097985043,7.512603355,1.1032,4.872,2275.203
4.206392248,1.098181896,7.501972243,1.1027,4.872,2281.984
4.206809312,1.097047608,7.52540251,1.1021,4.872,2288.75
4.207194147,1.095815761,7.527771532,1.1016,4.872,2295.531
4.207672507,1.093921644,7.560841095,1.0999,4.872,2302.312
4.207870527,1.092769386,7.574248493,1.0983,4.872,2309.062
4.208183819,1.092820773,7.582269059,1.0983,4.872,2315.781
4.208705884,1.09179082,7.598930756,1.0967,4.872,2322.515
4.206981163,1.072625076,7.623428426,1.0787,4.859,2329.234
4.207112803,1.07153561,7.627090562,1.0776,4.859,2335.937
4.207396929,1.072327009,7.641706873,1.077,4.859,2342.64
4.207721783,1.071719747,7.62022431,1.0765,4.859,2349.375
4.205964456,1.053668877,7.634366623,1.0585,4.846,2356.14
4.206131631,1.050236691,7.660480366,1.0585,4.846,2362.921
4.206418386,1.052404342,7.678817931,1.0574,4.846,2369.671
4.206886995,1.050871326,7.674698074,1.0569,4.846,2376.39
4.207127743,1.051884645,7.669565521,1.0563,4.846,2383.093
4.207667409,1.049191056,7.656055653,1.0558,4.846,2389.828
4.205701206,1.031845318,7.660555813,1.0367,4.834,2396.609
4.205880289,1.03178224,7.655689017,1.0367,4.834,2403.359
4.20612037,1.030343843,7.65883203,1.0362,4.834,2410.187
4.206651313,1.029974676,7.656860019,1.0356,4.834,2417.015
4.206716592,1.029358172,7.673609497,1.034,4.834,2423.718
4.206952284,1.027985786,7.675266658,1.034,4.834,2430.515
4.207544315,1.028244683,7.688494996,1.0329,4.834,2437.359
4.207955435,1.026401331,7.688373226,1.0323,4.834,2444.109
4.208482794,1.026612811,7.691369227,1.0318,4.834,2450.937
4.208926096,1.027576811,7.686777689,1.0312,4.834,2457.765
4.206876409,1.008484545,7.700857951,1.0127,4.821,2464.484
4.207599223,1.005682022,7.719600015,1.0122,4.821,2471.25
4.20755166,1.006371439,7.727748927,1.0116,4.821,2477.953
4.20821123,1.004445319,7.716490002,1.0116,4.821,2484.687
4.208449964,1.005333456,7.728681124,1.0111,4.821,2491.39
4.209101245,1.004501697,7.749546207,1.01,4.821,2498.093
4.207338417,0.986664707,7.775853874,0.992,4.808,2504.796
4.207405123,0.986786429,7.777460115,0.9925,4.808,2511.5
4.207686566,0.986363266,7.777944408,0.9915,4.808,2518.234
4.208085654,0.984992381,7.771181296,0.9909,4.808,2524.937
4.208468427,0.985511544,7.798470173,0.9909,4.808,2531.671
4.208927364,0.983836112,7.798504238,0.9893,4.808,2538.39
4.207029777,0.965827848,7.782744602,0.9718,4.796,2545.093
4.207221409,0.966809117,7.773954715,0.9713,4.796,2551.796
4.207777703,0.963788817,7.784834719,0.9707,4.796,2558.515
4.208066355,0.964580608,7.79538362,0.9702,4.796,2565.234
4.208328829,0.964908832,7.790065421,0.9697,4.796,2571.937
4.208821332,0.962998219,7.803337791,0.9686,4.796,2578.656
4.209075756,0.962570747,7.792570574,0.968,4.796,2585.359
4.209472586,0.961648936,7.80415046,0.9675,4.796,2592.062
4.209904081,0.961464933,7.806146069,0.9664,4.796,2598.796
4.207960105,0.943942688,7.818722416,0.9473,4.783,2605.5
4.20820085,0.942786042,7.818935209,0.9473,4.783,2612.234
4.208550164,0.939123681,7.824592941,0.9468,4.783,2619
4.206787461,0.927251498,7.842092981,0.9288,4.77,2625.718
4.206810376,0.92269599,7.847831077,0.9288,4.77,2632.421
4.207146019,0.923748076,7.844645682,0.9282,4.77,2639.125
4.207229302,0.920114472,7.858790037,0.9277,4.77,2645.828
4.207761329,0.92266592,7.842813824,0.9271,4.77,2652.546
4.207987664,0.919886987,7.867170609,0.9266,4.77,2659.25
4.208321756,0.921213147,7.87353841,0.9255,4.77,2665.968
4.208721427,0.918916603,7.869998926,0.925,4.77,2672.671
4.206816154,0.900168612,7.880046641,0.9064,4.757,2679.375
4.206945955,0.900799065,7.874154921,0.9059,4.757,2686.109
4.207434379,0.899521703,7.893998809,0.9053,4.757,2692.812
4.20751949,0.900592184,7.894623506,0.9053,4.757,2699.531
4.207976064,0.899204321,7.87907574,0.9048,4.757,2706.234
4.208394191,0.899146121,7.899865522,0.9042,4.757,2712.953
4.208649888,0.898042336,7.904374034,0.9037,4.757,2719.656
4.207246477,0.881580459,7.918098037,0.8857,4.745,2726.39
4.207022251,0.880293889,7.922977594,0.8852,4.745,2733.093
4.20751184,0.88023857,7.920064234,0.8852,4.745,2739.796
4.207809389,0.879517445,7.920357316,0.8846,4.745,2746.531
4.208207327,0.878116671,7.938757344,0.8841,4.745,2753.265
4.208666776,0.879364714,7.938628861,0.883,4.745,2759.968
4.209189689,0.876583377,7.951020915,0.883,4.745,2766.671
4.209376515,0.877752225,7.938631325,0.8819,4.745,2773.39
4.210007012,0.876607613,7.953751495,0.8813,4.745,2780.093
4.207861927,0.859378843,7.937775546,0.8623,4.732,2786.812
4.208436103,0.858446792,7.960299437,0.8623,4.732,2793.546
4.208609827,0.856527689,7.974981474,0.8617,4.732,2800.25
4.209164793,0.857080444,7.949740394,0.8612,4.732,2806.968
4.209194313,0.855659297,7.956544982,0.8601,4.732,2813.671
4.209462189,0.855807678,7.963988858,0.8595,4.732,2820.375
4.209775216,0.853495944,7.970406811,0.859,4.732,2827.109
4.208211724,0.832636554,7.976307966,0.8405,4.719,2833.796
4.208466139,0.837690534,7.969481237,0.8405,4.719,2840.5
4.20859773,0.83782183,7.9698222,0.8399,4.719,2847.203
4.206975445,0.819133507,7.965019448,0.8219,4.707,2853.953
4.206719045,0.81347325,7.949962266,0.8219,4.707,2860.718
4.206909638,0.814566144,7.978972629,0.8214,4.707,2867.421
4.207190257,0.817752181,7.971438989,0.8208,4.707,2874.156
4.207601662,0.816595799,7.965306105,0.8203,4.707,2880.843
